Topic,Title,Summary,URL,Revision ID
Economy,Stock market index,"In finance, a stock index, or stock market index, is an index that measures the performance of a stock market, or of a subset of a stock market. It helps investors compare current stock price levels with past prices to calculate market performance.Two of the primary criteria of an index are that it is investable and transparent: The methods of its construction are specified. Investors may be able to invest in a stock market index by buying an index fund, which is structured as either a mutual fund or an exchange-traded fund, and ""track"" an index. The difference between an index fund's performance and the index, if any, is called tracking error.

",https://en.wikipedia.org/wiki/Stock_market_index,1177100571
Economy,Stock market,"A stock market, equity market, or share market is the aggregation of buyers and sellers of stocks (also called shares), which represent ownership claims on businesses; these may include securities listed on a public stock exchange, as well as stock that is only traded privately, such as shares of private companies which are sold to investors through equity crowdfunding platforms. Investment is usually made with an investment strategy in mind.",https://en.wikipedia.org/wiki/Stock_market,1172981200
Economy,Stock market prediction,Stock market prediction is the act of trying to determine the future value of a company stock or other financial instrument traded on an exchange. The successful prediction of a stock's future price could yield significant profit. The efficient-market hypothesis suggests that stock prices reflect all currently available information and any price changes that are not based on newly revealed information thus are inherently unpredictable. Others disagree and those with this viewpoint possess myriad methods and technologies which purportedly allow them to gain future price information.,https://en.wikipedia.org/wiki/Stock_market_prediction,1147956250
Economy,2015–2016 stock market selloff,"The 2015–2016 stock market selloff was the period of decline in the value of stock prices globally that occurred between June 2015 to June 2016. It included the 2015–2016 Chinese stock market turbulence, in which the SSE Composite Index fell 43% in just over two months between June 2015 and August 2015, which culminated in the devaluation of the yuan. Investors sold shares globally as a result of slowing growth in the GDP of China, a fall in petroleum prices, the Greek debt default in June 2015, the effects of the end of quantitative easing in the United States in October 2014, a sharp rise in bond yields in early 2016, and finally, in June 2016, the 2016 United Kingdom European Union membership referendum, in which Brexit was voted upon.By July 2016, the Dow Jones Industrial Average (DJIA) recovered and achieved record highs. The FTSE 100 Index did not do so until later in 2016.",https://en.wikipedia.org/wiki/2015%E2%80%932016_stock_market_selloff,1172118233
Economy,2015–2016 Chinese stock market turbulence,"The 2015-2016 Chinese stock market turbulence began with the popping of the stock market bubble on 12 June 2015 and ended in early February 2016. A third of the value of A-shares on the Shanghai Stock Exchange was lost within one month of the event. Major aftershocks occurred around 27 July and 24 August's ""Black Monday"". By 8–9 July 2015, the Shanghai stock market had fallen 30 percent over three weeks as 1,400 companies, or more than half listed, filed for a trading halt in an attempt to prevent further losses.  Values of Chinese stock markets continued to drop despite efforts by the government to reduce the fall. After three stable weeks the Shanghai index fell again on 24 August by 8.48 percent, marking the largest fall since 2007.At the October 2015 International Monetary Fund (IMF) annual meeting of ""finance ministers and central bankers from the Washington-based lender’s 188 member-countries"" held in Peru, China's slump dominated discussions with participants asking if ""China’s economic downturn [would] trigger a new financial crisis"".By the end of December 2015 China's stock market had recovered from the shocks and had outperformed S&P for 2015, though still well below the 12 June highs. By the end of 2015 the Shanghai Composite Index was up 12.6 percent. In January 2016 the Chinese stock market experienced a steep sell-off and trading was halted on 4 and 7 January 2016 after the market fell 7%, the latter within 30 minutes of open. The market meltdown set off a global rout in early 2016.According to 19 January 2016 articles in the Xinhua News Agency, the official press agency of the People's Republic of China, China reported a 6.9 percent GDP growth rate for 2015 and an ""economic volume of over ten trillion U.S. dollars"". Forbes journalist argues that the ""stock market crash does not indicate a blowout of the Chinese physical economy."" China is shifting from a focus on manufacturing to service industries and while it has slowed, it is still growing by 5%. After this last turbulence, as of January 2017 the Shanghai Composite Index has been stable around 3,000 points, 50% less than before the bubble popped.",https://en.wikipedia.org/wiki/2015%E2%80%932016_Chinese_stock_market_turbulence,1176540983
Economy,Stock market bubble,"A stock market bubble is a type of economic bubble taking place in stock markets when market participants drive stock prices above their value in relation to some system of stock valuation.
Behavioral finance theory attributes stock market bubbles to cognitive biases that lead to groupthink and herd behavior. Bubbles occur not only in real-world markets, with their inherent uncertainty and noise, but also in highly predictable experimental markets. In the laboratory, uncertainty is eliminated and calculating the expected returns should be a simple mathematical exercise, because participants are endowed with assets that are defined to have a finite lifespan and a known probability distribution of dividends.
Other theoretical explanations of stock market bubbles have suggested that they are rational, intrinsic, and contagious.",https://en.wikipedia.org/wiki/Stock_market_bubble,1142603358
Economy,Stock market downturn of 2002,"In 2001, stock prices took a sharp downturn (some say ""stock market crash"" or ""the Internet bubble bursting"") in stock markets across the United States, Canada, Asia, and Europe. After recovering from lows reached following the September 11 attacks, indices slid steadily starting in March 2002, with dramatic declines in July and September leading to lows last reached in 1997 and 1998. The U.S. dollar increased in value relative to the euro, reaching a 1-to-1 valuation not seen since the euro's introduction.",https://en.wikipedia.org/wiki/Stock_market_downturn_of_2002,1116358266
Economy,Stock market simulator,"A stock market simulator is computer software that reproduces behavior and features of a stock market, so that a user may practice trading stocks without financial risk. Paper trading, sometimes also called ""virtual stock trading"", is a simulated trading process in which would-be investors can practice investing without committing money.This is accomplished by the manipulation of simulated money and investment positions that behave in a manner similar to the real markets. Investors also use paper trading to test new and different investment strategies. Stock market games are often used for educational purposes.
For example, investors can create several different positions simultaneously to compare the performance and payoff characteristics between multiple strategies. A textbook may state that writing a covered call is synthetically the same as writing a naked put, but in practice there are subtle differences. With a paper trading account, an investor can set up a bull credit spread and a bull debit spread simultaneously and watch how the payoff for each position changes as the market moves.
Other advanced strategies include leverage, short-selling, forex and derivatives trading. Successful execution and profit generation from these strategies usually require high levels of technical knowledge. Investors can test these strategies with paper trading to avoid taking on excessive risk due to inexperience.
Various companies and online trading simulation tools offer paper trading services, some free, others with charges, that allow investors to try out various strategies (some stock brokerage firms allow 14-day 'demo accounts'), or paper trading can be carried out simply by noting down fees and recording the value of investments over time.
The imaginary money of paper trading is sometimes also called ""paper money,"" ""virtual money,"" and ""Monopoly money.""",https://en.wikipedia.org/wiki/Stock_market_simulator,1121279952
Economy,Stock exchange,"A stock exchange, securities exchange, or bourse is an exchange where stockbrokers and traders can buy and sell securities, such as shares of stock, bonds and other financial instruments. Stock exchanges may also provide facilities for the issue and redemption of such securities and instruments and capital events including the payment of income and dividends. Securities traded on a stock exchange include stock issued by listed companies, unit trusts, derivatives, pooled investment products and bonds. Stock exchanges often function as ""continuous auction"" markets with buyers and sellers consummating transactions via open outcry at a central location such as the floor of the exchange or by using an electronic trading platform.To be able to trade a security on a certain stock exchange, the security must be listed there. Usually, there is a central location for record keeping, but trade is increasingly less linked to a physical place as modern markets use electronic communication networks, which give them advantages of increased speed and reduced cost of transactions. Trade on an exchange is restricted to brokers who are members of the exchange. In recent years, various other trading venues such as electronic communication networks, alternative trading systems and ""dark pools"" have taken much of the trading activity away from traditional stock exchanges.Initial public offerings of stocks and bonds to investors is done in the primary market and subsequent trading is done in the secondary market. A stock exchange is often the most important component of a stock market. Supply and demand in stock markets are driven by various factors that, as in all free markets, affect the price of stocks (see stock valuation).
There is usually no obligation for stock to be issued through the stock exchange itself, nor must stock be subsequently traded on an exchange. Such trading may be off exchange or over-the-counter. This is the usual way that derivatives and bonds are traded. Increasingly, stock exchanges are part of a global securities market. Stock exchanges also serve an economic function in providing liquidity to shareholders in providing an efficient means of disposing of shares.",https://en.wikipedia.org/wiki/Stock_exchange,1176272286
Economy,Nepal Stock Exchange,"The Nepal Stock Exchange (NEPSE) is the only stock exchange of Nepal. As of February 2023, the market capitalization of the companies listed on NEPSE totaled रू306,196 crore (US$24 billion).The basic objective of NEPSE is to impart free marketability and liquidity to the government and corporate securities by facilitating transactions in its trading floor through member, market intermediaries, such as broker, market makers etc. As of June 2023, 226 companies are listed on the exchange, which includes commercial banks, hydro-power companies, insurance companies, and finance companies among others.  The Exchange has 50 registered brokers as of February 2023.",https://en.wikipedia.org/wiki/Nepal_Stock_Exchange,1176501266
